音讀 詞目
gâi 崖
lūn 崙
tsâu 巢
uî 帷
siông 常
am 庵
iông 庸
kiōng 強
huī 彗
tshái 彩
piu 彪
pin 彬
pâi 徘
gū 御
sik 悉
iu 悠
huān 患
tshi 悽
bóng 惘
uî 惟
î 惟
tshik 戚
siá 捨
tua̍h 掇
siū 授
khòng 控
bín 敏
sū 敘
pē 敝
pè 敝
sîn 晨
tsô 曹
bān 曼
niû 梁
hiau 梟
ngôo 梧
so 梭
hāi 械
huān 梵
khì 棄
io̍k 欲
hô 毫
hôo 毫
siân 涎
gâi 涯
i̍k 液
kî 淇
siok 淑
tshe 淒
tsīng 淨
lûn 淪
îm 淫
huâi 淮
ian 淵
hūn 混
phing 烹
tshiong 猖
pit 畢
lio̍h 略
lio̍k 略
ī 異
tshû 疵
khue 盔
siānn 盛
tsu 硃
liû 硫
siông 祥
thiāu 祧
î 移
thiáu 窕
kìng 竟
sing 笙
luí 累
luī 累
sin 紳
siāu 紹
tsiong 終
thóng 統
siu 羞
si̍p 習
lîng 聆
liâu 聊
sûn 唇
tûn 唇
pha 脬
tāu 脰
hiân 舷
tōo 荳
hô 荷
sa 莎
so 莎
king 莖
hīng 莧
bóng 莽
tshú 處
tshù 處
tàn 蛋
ka 袈
phâu 袍
siù 袖
bi̍k 覓
siōng 訟
hóng 訪
thûn 豚
pîn 貧
tsik 責
tsí 趾
siau 逍
sok 速
hông 逢
liâm 連
lîng 陵
tô 陶
khing 頃
khíng 頃
khuí 傀
kia̍t 傑
pī 備
khái 凱
siōng 剩
sing 勝
sìng 勝
lō 勞
thò 唾
lá 喇
âu 喉
huàn 喚
hí 喜
suan 喧
kiâu 喬
pó 堡
thê 堤
giâu 堯
tiān 奠
tîng 婷
bī 媚
o 媧
bī 寐
gū 寓
lâm 嵐
tshè 廁
siunn 廂
lông 廊
ho̍k 復
sûn 循
pi 悲
būn 悶
hi̍k 惑
huī 惠
ònn 惡
hiânn 惶
tshik 惻
go̍k 愕
khài 慨
kik 戟
iông 揚
kiat 揭
khiat 揭
hui 揮
uān 援
tun 敦
pin 斌
hui 斐
huí 斐
pan 斑
su 斯
phóo 普
tì 智
sú 暑
tsîng 曾
tiau 朝
ki 期
kùn 棍
pāng 棒
tông 棠
