ham3泛仔	VC
ham3泛代	
ham3泛過	VR
ham3浡	VH
ham3空	
ham3腫	VH
ham3話	VA;Na
ham3貳郎	Na;VH
ham3鏡	Na
ham5	Na
ham7	Dd;Na;io;Da;P5;Nb;VJ;ur
ham7肉kap	Nc;Na
han-to2-lu3	Na
han5	Db;VD;Dd;re;Df
hang2頭	VA;VC
hang3	VH
hang3奶	
hap	VC
hat	VC;b
hat8	
hau	VH
hau-siau5	VA
hau六	VB;VH
hau六話	Na
hau六講	VA
he	Ne
he m7	Db
he-m7	Db
he3	Tc
heN7	
heh	VJ
hehN	VA;VH
hehN熱	Nd
hehN睏	VA
heng7	VD
he痀	VA;Na
he龜	
hi-nou2-khi3	Na
hiN	I
hiN3	VA;VC;b
hiN3-sak	VR;VC
hiN3掉	VC
hiN3韆鞦	VA
hia	Df
hia	Df
hia	Na
hiaN3	P6;VK;VJ
hiaN5火	VA
hiah	Dh;Df
hiah-che7	
hiah-e5	Ne
hiah-nih	
hiahN	VJ;VH
hiahN場	VH
hiahN市	Na
hiah久仔	
hiah個	Ne
hiah呢	Dh;Df
hiam	VH
hiam椒仔	Na
hian2	VA
hian3	
hiat	VC;VH
hiat-kak	VC
hiat-kak8	VR;VC
hiat-sak	VR;VC
hiat下	VC
hiat仔	Na
hiat出去	
hiat掉	VR
hiat石頭	
hiau	VA;VC;VH
hiau-pai	VH
hiau3	VH
hiau5	VH
hiau5腳倉	VH
hiauh	VH
hiauh殼	VA;VH
hiauh痞	
hiauh皮	VA
him3	VB
hin	
hiong狂	VH
hiou3	
hit	Ne
hit-peng5	
hit仔	Na
hit手	VA
hiu3	Na;VC
hiu3芳水	
hiuN	VH
hm	Na
hm3	I
hm5	Dh
hmh	VC
hmh8	VH
hng	Na;VC
hng2	
ho	VH
ho-ho	VH
ho5	I;Tc
ho5-lin5豆	Na
hoa	Na;VC;VG;Nb;VH
hoaN2	VC
hoaN7	Na;VC
hoaN7定	VR
hoaN7家	VA;Na;Nb
hoaN7家事	VA
hoaN7家的	
hoaN7店	
hoaN7手頭	VA;VC
hoaN7數	
hoaN7盤	VC
hoaN7膽	VB
hoaN7舵	VA
hoaN7錢	VA
hoaN7雙祧	VJ
hoaN7頭	VC
hoaN7鼎	VA
hoaN7鼓板	Na;VC
hoah8	Nf;Dh
hoah8入	
hoah8出	VR
hoah8步	
hoah8路	VC
