腦髓	Na
腩	
腩肚肉	
腫	VH
腫hong5	VH
腫奶	
腫瘤	Na
腫膿	
腫頷	VA
腮	Na
腮嘴\-卑頁	Na
腮嘴邊	
腯	
腯母	
腯腯	
腰	Na;VC;b
腰內肉	Na
腰包	Na
腰囝	
腰子	Na
腰子病	Na
腰子範	Na
腰子結石	
腰尺	
腰帶	Na
腰斬	VB
腰束	Na
腰果	Na
腰桶	
腰椎骨	
腰肚	Na
腰肚帕	
腰脊骨	Na
腰脊骨酸	
腰脺	Na
腰身	Na
腰際	Nc
腰骨	Na
腱	Na
腱子肉	
腳	Na;Nf
腳	Ne;Nc;Na;VC;VG;Da;Nf;Ng
腳chiaN5長	
腳pe5	Na
腳phoah8腳	
腳sioh8	
腳te3腳	Dh
腳上腿	Na
腳下節	Na
腳下腿	Na
腳仔	Na
腳仔手	Na
腳仔爪	Na
腳仙	
腳伐	Na
腳健	
腳兜	Nh;Nc;VC;Ng
腳刀	
腳力	
腳勢	
腳勼筋	
腳印	Na
腳夫	Na
腳尖	Na
腳尾	Na
腳尾冷	VH
腳尾經	
腳尾飯	
腳巾	Na
腳帛	Na
腳底	Na
腳底撓	VA
腳廉	Na
腳廉刀	Na
腳彎	
腳後chan	Na
腳後teN	Na
腳後卵	Na
腳後彎	
腳後曲	
腳後筋	
腳後肚	
腳後距	
腳心	Na
腳手	Na
腳手so5	
腳手慢	
腳手軟	VH
腳扣	Na
腳指	Na
腳指	Na
腳指甲	Na
腳指頭	Na
腳掙	Na
腳掙踢	
腳接腳	Dh
腳擋	
腳擋仔	
腳擺擺	
腳數	Na
腳數	Na
腳數戲	Na
腳斡入	
腳斡彎	
腳曲	
腳本	Na
腳枷	Na
腳桶	Na
腳梢	Na;VH
腳模	Na
腳步	Na
腳步手路	Na
腳母草	
腳氣	Na
腳氣病	Na
腳爪	Na
腳爪仔	Na
腳球	Na
腳球場	Nc
腳疊環	VA
腳疊盤	VA
腳疊蜷	VA
腳痕	Na
腳癬	
腳皮錢	
腳盤	Na
腳目	Na
腳目草	
腳禁	
腳程	Na
腳筋	
腳筋踃	
腳筒骨	
腳節風	
腳綴腳	Dh
腳縫	
腳縫下	
腳繳	Na
腳肚	
腳肚仁	
腳肚肉	
腳肚腱	
腳肚骨	Na
腳胴	Na
腳胴骨	Na
腳脩	Na;VH
腳腕	Na
腳腿	Na;Nf
腳臼	Na
腳號	Na
腳蛸	Na
腳蛸仔	
腳趾甲	Na
腳距	
腳跡	Na
腳跡	Na
腳跡底	Na
腳踏	Na
腳踏仔	Na
腳踏差	VH
腳踏枋	Na
腳踏椅	Na
腳踏石	Na
腳踏腳	Dh
腳踏車	Na
腳踏錯	VJ;VH
腳蹄	Na
腳蹠	
腳車藤	Na
腳酸	
腳錢	Na
腳鐐	Na
腳頭窩	Na
腳頭窩下	Nc;Nh
腳頭窩骨	
腳頷	
腳風	Na
腳馬	Na
腳骨	
腳鼻廉	Na
腸	Na
腸	Na
腸仔	Na
腸仔炎	Na
腸仔熱	Na
腸仔病	Na
腸仔瘍	
腸仔肚	Na
腸仔膜	
腸滑	
腸疝	Na
腸癰	Na
腸肚	Na
腸頭	Na
腹	b
腹內	VA;Na
腹內khng3劍	VH
腹內推	VK
腹內疑	VK
腹內硨	
腹地	Na
腹案	Na
腹肚	Na
腹肚iau	
腹肚tu3-tu3	
腹肚痛	
腹肚脹	
腹肚脹	
腹肚脹脹	
腹肚邊	Na
腹腸	Na;VC
腹腸大	VH
腹膜炎	Na
腺	Na
腿	Na
腿包	
腿肉	Na
腿股肉	
腿股頭	
腿褲	
腿輪	Na
腿頭	Nc
腿頭骨	Na
膀胱	Na
膀胱	Na
膀胱	Na
膈下lang	Nc
膈下空	Nc
膈肉	Na
膈肌	Na
膈食	Na
膋垂	
膏	Na;b;VH
膏	b
膏水	Na
膏筆	Na
膏膏纏	VC;VH
膏藥	Na
膏藥	Na
膘	b
膚	b
膚淺	VH
膚疹	Na
膜	Na
膜	Na
膜壁	
膜拜	VC
膜脈	Na
膝下	Nc;Nh
膝下	Nc;Nh
膠	Na
膠布	Na
膢人	VD
膢人嘍	
膨丁	
膨價	VA
膨凹鏡	
膨唱	VH
膨大	VR;VH
膨大海	
膨尾狸	
膨床	Na
膨椅	Na
膨毛管	VH
膨沖	VH
膨獅獅	
膨皮	VH
膨皰	VH
膨粉	Na
膨紗	Na
膨紗刺	
膨紗衫	Na
膨肚	VH
膨脹	VH
膨脹力	
膨腿	Na
膨裙	
膨起來	VR
膨蹋	VH
膨鏡	Na
膨面	Na
膨風	VA;Na;VH
膨風仙	
膨餅	Na
膨鼠	Na
膩	VH
膩瓤	Na
膩瓤油	
膺任	VG
膺選	VG
膽	Na
膽	Na
膽力	Na
膽固醇	Na
膽在	
膽寒	VI
膽手	
膽敢	Db
膽智	Na
膽智	Na
膽汁	Na
膽淋	Na
膽漢	VH
膽略	Na
膽石	Na
膽碄	
膽細	VH
膽結石	
膽綠	VH
膽膽	Na;VK;VH
膽訪	VC
膽量	Na
膽頭	Na
膾	b
膿	Na
膿	Na
膿水	Na
膿漏目	Na
膿瘍	Na
膿血	
膿頭	
臂	b
臆	VE
臆堆	VC
臆測	VE
臆著	VR
臆謎	VA
臆謎猜	VA
臉孔	Na
臉面	Na
臊	VH
臊味	Na
臊菜	Na
臍	b
臍帶	Na
臍疝	Na
臍風	Na
臘人	
臘日	Na;Nd
臘月	Nd
臘油	
臘物	
臘盤	Na
臘肉	Na
臘腸	Na
臘腸樹	
臟	b
臣	Nh
臥房	Nc
臨急	Dd
臨時	Dd
臨沂街	
臨產	VA
臨當時	
臨當時	Dd
臨盆	VA
臨邊	Dd
臨邊久	VA;Nd
臨邊時	Dd
自	P1;P5
自主	VH
自以為是	VH
自任	VG
自作孽	VA
自來	Dd
自來水	Na
自來火	Na
自保	VA
自信	VK
自信心	Na
自修	VC
自備	VC
自傲	VH
自傳	Na
自制	VA
自力	Dh
自助	VA
自助餐	Na
自動	VH
自動化	VH
自動車	Na
自動鎖	
自卑	VH
自卑感	Na
自古	Dd
自古早	Dd
自古無	VH
自嘲	VE
自在	VH
自大	VH
自如	VH
自娛	VA
自學	VA
自家人	Na
自家用	A
自專	VA;VL;VH
自尊	Na
自尊心	Na
自居	VI
自己	Nh
自幼	Dd
自底	Dd;Da
自建	VC
自強	VH
自彼陣	Dd
自律	VH
自得	VH
自從	P1
自愛	VH
自慰	VA
自應	Db
自我安慰	
自拔	VH
自持	VA
自按呢	Cb
自按呢	Dd
自撰	VC
自救	VA
自新	VH
自斷	VH
自早	Dd;Nd
自是	VH
自有	VJ
自本	Dd;Da
自此	Dd
自殺	VA
自民黨	Nb
自決	VA
自治	VA
自治區	Nc
自治權	Na
自治法	Na
自滿	VH
自焚	VA
自然	Db;Na;VH
自然人	Na
自然界	Nc
自然的	Dh
自營商	Na
自理	VB
自用	A
自用車	Na
自由	VH
自由化	VH
自由式	Na
自由日	Nd
自由業	Na
自由派	Na
自由車	Na
自當	Db
自發	A
自發性	Na
自白	VA;VB
自白	VA;VB
自白書	Na
自盡	VA
自省	VE
自知	VE
自私	VH
自稱	VG
自立	VC
自細	Dd
自細漢	Dd
自組	VC
自給	b
自縊	VA
自習	VA
自耕農	Na
自苦	VH
自衛	VA
自衛隊	Na
自製	VC
自覺	VK
自設	VC
自許	VH
自訴	VA
自誇	VE
自認	VE
自豪	VH
自負	VH
自責	VA
自費	VA
自輦車	Na
自轉	VA
自轉車	Na
自遮	
自重	VH
自開始	
自開誇	VA
自開誇	VE
自頭	Dh
自願	VL
自首	VA
自高	VH
臭	VH
臭gia5-gia5	VH
臭hian3	Na
臭hian3子	
臭phu2	VH
臭phu2味	Na
臭sioh8	VH
臭ta	VR;VH
臭七仔	
臭丸	Na
臭人	Na
臭凋味	
臭凋庀	Na
臭凋色	VH
臭名	Na
臭名聲	Na
臭名臭聲	
臭味	Na
臭啣啣	VH
臭嘴	
臭嘴角	
臭嘴邊	
臭嘴頷	
臭土	Na
臭土味	
臭奶hian3	Na
臭奶呆	VH
臭奶獃	
臭婆	
臭婊	
臭小囝	Na
臭尿味	
臭尿破	
臭尿羶	
臭尿薟	
臭屁	VE;VH
臭屎楠	
臭屎瓜	
臭川芎	
臭彈	VA;VE
臭彈仙	
臭心想	VE
臭心肝	Na;VH
臭心行	
臭揚	VH
臭早死	
臭杉味	
臭杏	
臭查某	
臭柴	Na
臭柿子	Na
臭椿	
臭樟	
臭殕米	
臭殕茶	Na
臭殕話	Na
臭毛毛	VH
臭氣	Na
臭氧	Na
臭汗hian3	
臭汗酸	
臭汗餿	
臭油	Na
臭油餲	VH
臭溝仔	Na
臭溝糜	Na
臭濁	VH
臭火ta	VR
臭火咯	VR
臭火氣	
臭火烙	VR
臭火燒	VR
臭火燻	VR
臭爛	VH
臭狗蘇	
臭瓜	
臭生荒	VJ;b;VH
臭生驚	VH
臭疑	Na;VE;VH
臭皮囊	Na
臭短命	
臭破味	Na
臭空	Na
臭空仔	
臭笨	VH
臭羊羶	Na
臭羶味	Na
臭羶貓	Na
臭老	Na;VH
臭老hian3	VH
臭耳聾	VH
臭耳聾的	Na
臭肉	Na
臭肉un	
臭肉魚	
臭肚魚	
臭肥	VH
臭腥	Na
臭腥	Na
臭腥仔	
臭腥公	
臭腥母	
臭腥藤	
臭腥龜	Na
臭腳餿	
臭腹內	
臭臊	Na;VH
臭臊味	Na
臭臊神	VH
臭臊草	
臭臭	
臭艾	
臭芝屄	
臭花草	
臭茉莉	
臭草	Na
臭菊	
臭菊仔	
臭菜	
臭葉樹	
臭薟薟	VH
臭薸	VH
臭蟲	Na
臭蠟樹	
臭行	
臭行	VH
臭賤	VH
臭賤人	
臭賤婢	
臭賤相	Na
臭賤骨	Na
臭酒味	
臭酒羶	
臭酸	VH
臭酸phun	Na
臭酸想	VE
臭酸步	Na
臭酸水	Na
臭酸話	Na
臭酸飯	
臭重	VH
臭銅sian	Na
臭銅爛鐵	
臭雪文	Na
臭雪文	Na
臭青	
臭青仔	
臭青公	
臭面	
臭頭	Na;VH
臭頭山	Na
臭風	Na;VH
臭風草	
臭餿	Na;VH
臭餿味	
臭香	
臭香貓	
臭魚	
臭鳥	
臭黃	VH
臭鼠	
臭鼻蟲	Na
至	P6;Df
至上	VH
至善	Na
至多	Da
至大	VH
至尊	Na;VH
至少	Db;Da
至德	Na
至於	P4
至極	Df
至濟	Da
至腹個	
至誠	VH
至高	VH
致	VD;Cb;VL
致使	VL
致候	
致候詞	
致傷	
致函	VC
致到	Cb;VL
致力	VL
致勝	VH
致命	VH
致命	VH
致命傷	Na
致命處	Na
致富	VH
致心	VH
致恨	VJ
致意	VK;VC;VB;VJ
致成	VL
致敬	VB
致歉	VB
致死	VB
致甲	Cb
致病	VA;VH
致癌物	Na
致蔭	VC
致詞	VB
致謝	VB
致賀	VB
致贈	VD
致身命	Na
致辭	VA
致送	VD
致重	VJ
致重	VJ;VH
致電	VC
臻	VJ
臼	Na
臼仔槌	Na;VC
臼齒	Na
舀	VC
舀水	
舂	VA;VC;VJ
舂乓	VA;VC
舂乓賊	Na
舂乓賊	Na
舂杵	Na;VC
舂碎	VC
舂米	VA
舂米所	Nc
舂臼槌	Na;VC
舂著	
舂著壁	VA
舂著壁	VA
舂車	VA
舅	Na;b
舅仔	Na
舅仔姊夫	Na
舅公	Na
舅燈	Na
舅表	
與	VC
與會	VA
與民爭利	VA
與生俱來	VH
與眾不同	VH
與賽	VA
興	Na;VK;b;VJ;VH
興	b
興	b;VH
興chhic-h-chh	VA;VJ;VH
興kiau2	
興lim	VH
興phut8-phut8	VA;VH
興poah	
興put8-put8	VH
興thit	
興中會	Nb
興事	
興事	VA
興倒	Na
興兵	VA;VC
興國	VA
興奮	VH
興奮劑	Na
興孤味	
興安	Nc
興建	VC
興復	VC
興插事	VH
興敗	Na
興旺	VH
興查某	
興查某	VH
興燒酒	
興盛	VH
興築	VC
興粉味	VH
興耍	VH
興致	Na
興衰	Na
興衰	Na
興觸	
興訟	Na
興諍	VH
興講話	VH
興賤	VH
興起	VC;VH
興趣	Na
興辦	VC
興這味	
興這路	
興酒	VH
興隆	VH
興革	VC
興頭	Na;VH
興食	VH
舉	VC
舉世	Na
舉人	Na
舉例	VA
舉債	VA
舉出	VR
舉動	Na
舉國	Na
舉奏板	VA
舉家	Da
舉手	VA
舉扦	
舉杯	VA
舉止	Na
舉發	VC
舉目	Dh
舉紅燈	VB
舉行	VC
舉辦	VC
舉重	Na
舉銃	VA
舉雨傘	VA
舉頭	VA
舉頭旗	VA;VH
舉頭鎗	
舊	VH
舊lau3-lau3	VH
舊事	Na
舊人	Na
舊作	Na
舊例	Na
舊冊	Na
舊冊店	
舊制	Na
舊地	Nc
舊地址	Nc
舊址	Nc
舊型	A
舊套	Na
舊套頭	Na
舊存年	Nd
舊屬	Na
舊岫	Na
舊年	Nd
舊年度	Nd
舊底	Dd;Nd;Ng
舊式	A
舊情	Na
舊把戲	Na
舊換新	VA
舊時	Dd
舊曆	Na
舊曆年	Nd
舊案	Na
舊款	A
舊漚	VH
舊煙	A
舊版	
舊病	
舊症	Na
舊症頭	Na
舊相	VH
舊相	VH
舊相好	
舊相相	VH
舊米	Na
舊糟粕	Na
舊老博	VH
舊落	VH
舊落落	VH
舊衫	Na
舊親情	
舊觀	Na
舊話	
舊調	
舊調	
舊譜照搬	VH
舊貨	
舊貨底	
舊路	Na
舊金山	Nc
舊頭腦	Na
舊食新	
舌	Na;b
舌仔	Na
舌疳	Na
舌疽	Na
舌癌	Na
舌苔	Na
舍	Na;b
舍人	Na
舐	VC
舐	VC
舒	VC
舒底	
舒暢	VH
舒服	VH
舒毯仔	
舒爽	VH
舒被	Na
舖	b
舖底	
舖排	VC;VB;VE;VH
舖排話	
舖板	
舖蓋	Na
舖設	VC
舖面蟶	
舜	Nb
舞	VA;Na;VC
舞台	Na
舞台劇	Na
舞場	Nc
舞女	Na
舞廳	Nc
舞弄	VC
舞弄	VF;VC
舞弊	VA
舞曲	Na
舞會	Na
舞步	Na
舞池	Nc
舞翼	Dh
舞草	
舞蹈	Na
舞蹈家	Na
舟山	Nc
舢板	Na
舢舨仔	Na
舢舨仔	Na
舢舨搖	VA
航向	Na
航政	Na
航政司	Nc
航業	Na
航權	Na
航次	Na
航海	VA
航海	VA
航空	A
航空器	Na
航空批	
航空站	Nc
航空衣	Na
航線	Na
航行	VA
航速	Na
航運	Na
航道	Na
航點	Na
般若	Na
舵	Na
舵	Na
舵公	Na
舶	b
船	Na
船kam2堵	Na
船主	Na
船仔	Na
船仔草	
船位	Na
船務	Na
船名	Na
船咠	
船員	Na
船塢	Na
船塢	Na
船墘	Na
船尾	Na
船工	Na
船帽	
船底	Nc
船期	Na
船桅	Na
船棓	
船槳	
船民	
船澳	Na
船碇	
船票	Na
船租	
船索	
船肚	Na
船舶	Na
船艙	Na
船艦	Na
船花	
船蛆	
船資	
船路	Na
船身	Na
船運	Na
船錢	
船長	Na
船隊	Na
船隻	Na
船面	Na
船頭	Na
船體	Na
船齡	Na
船	Na
艇	b
艋舺	Nc
艙	b
艙位	Na
艚	
艦上	Nc
艦艇	Na
艦隊	Na
良	Nb;b
良善	VH
良多	VH
良好	VH
良家婦女	Na
良心	Na
良性	A
良方	Na
良機	Na
良民	Na
良知	Na
良策	Na
良緣	Na
良藥	
艱困	VH
艱苦	VK;VH
艱苦人	Na
艱苦底	
艱苦心	Na;VK;VH
艱苦生	VA
艱苦聽	VH
艱苦過	
艱苦錢	
艱計	VH
艱辛	VH
艱過	VH
艱鉅	VH
艱難	Na;VH
色	Na;Nf;b;VH
色加	Na
色巧話	Na
色彩	Na
色情	Na
色情狂	Na
色料	Na
色水	Na
色水嬌	
色牙	Na
色狼	Na
色盲	VH
色筆	Na
色素	Na
色緻	Na
色緻	Na
色致	Na
色調	Na
色風	
艷	VH
艷旺	
艷色	VH
艷顯	VH
艷顯	VH
艷麗	VH
艾	Na;b
艾條	
艾森豪	Nb
艾絨	
艾綿	Na
艾草	Na
芋	Na;b
芋仔	Na
芋仔冰	
芋冰	
芋卵	Na
芋圓頭	VH
芋婆	Na
芋棗	b
芋泥	
芋粿	
芋粿	
芋絨	
芋絨	
芋羹	
芋莖	Na
芋莖菜尾	Na
芋螺	
芋顱頭	VH
芋鹹	Na
芍藥	Na
芎	b
芎林	Na
芎林	Na
芎蕉	Na
芎蕉冰	Na
芎蕉欉	
芎蕉油	Na
芎蕉王	Na
芎蕉綠	VH
芎蕉霜	Na
芒	b
芒	b
芒掃	
芒東仔	Na
芒硝	Na
芒種	Nd
芒種雨	Na
芒花	Na
芒花	Na
芒草	Na
芒萁	
芙蓉	Na
芙蓉	Na
芛目	
芝加哥	Nc
芝加哥大學	Nc
芝屄	Na
芝屄毛	Na
芝屄水	
芝屄蒂	Na
芝屄蘡	Na
芝草	Na
芝麻	Na
芡實	
芥末	Na
芥菜	Na
芥菜籽	Na
芥辣	Na
芫荽	Na
芬園	Nc
芬蘭	Nc
芭蕉	Na
芭蕉魚	Na
芭蕾	Na
芭蕾舞	Na
芮	Nb
芯	Na
花	Na;VK;VC;Nb;VH
花ko5	VH
花串	
花人	Na;VC;Nb;VH
花仔傘	Na
花仔布	Na
花仔衫	Na
花仔裙	
花冠	Na
花卉	Na
花卉	Na
花卷	Na
花台	Nc;Na
花哩囉	
花哩囉	VH
花噴	Na
花囉	Na
花囉狗	Na
花囉貓	Na
花囉雞	
花囉馬	
花圃	Nc
花園	Nc
花坩	Na
花壇	Nc;Na
花娘	Na
花婆嘴	VH
花婆話	VA
花子	Na
花字	Na;on
花季	Nd
花客	Na
花尋	Na
花尾	
花崗石	Na
花崗石	Na
花巴哩貓	
花市	Nc
花店	Nc
花式	Na
花式	Na
花心	Na;VH
花扮	Na
花押	
花搭仔	
花攤	
花斑	Na
花斑	VH
花斑馬	Na
花斑點	Na
花旗	Nc
花旗銀行	Nc
花旦	Na
花期	Nd
花木	Na
花枝	Na
花枝仔	
花枝船	
花柄	Na
花柄	Na
花柳病	Na
花栽	
花條馬	Na
花梨	
花椒	
花樣	Na
花欉	Na
花款	Na
花海棠	
花消	VC
花漉漉	
花漉漉	VH
花煙	
花煙仔	
花燈	Na
花燕仔	
花環	Na
花瓣	Na
花瓶	Na
花用	VC
花疑訝	VH
花痕	Na
花癲	Na
花盆	Na
花眉仔	Na
花矸	Na
花砂糖	Na
花磚	Na
花神	VH
花稈	Na
花種	
花童	Na
花箍	Na
花範	Na
花籃	Na
花籽	
花粉	Na
花粉熱	Na
花粉鏡	
花粉頭	
花糋	Na
花翱	VH
花翱翱	VH
花脯	Na
花臉面	Na
花臉鴨	
花色	Na
花花	VH
花花世界	Na
花花仔	VH
花花公子	Na
花芳	Na
花苓仔	
花茶	Na
花草	Na
花草步	Na
花莓	Na
花菜	Na
花葉	Na
花葉	Na;VH
花蒂	Na
花蓮	Nc
花蓮	Nc
花蓮嘴	
花蓮市	Nc
花蓮縣	Nc
花蓮縣	Nc
花蓮豆	Na
花蕊	Na
花蘡	Na
花蛤	
花蜜	Na
花螺	VH
花蠽仔	
花血	Na;VH
花言巧語	VA
花貓貓	VH
花身	
花身仔	
花車	Na
花轎	Na
花逝	Na;on
花邊	Na
花都	Nc
花酒	Na
花鋟	
花錦地	Nc
花鏡	Na
花間	Nc;Na
花雞	
花面	Na
花飛	
花馬	
花鬚	Na
花魚	
花鮡	
花鯧	
花鯽	
花鰍	
花鰱	
花鰱魚	
花鰷	
花鰷魚	
花鰻	
花鱸	Na
花鳥	Na
花鹿	Na
花鹿鹿	VH
花點	Na
花點母	
花齣	Na
芳	Na;b;VH
芳名	Na
芳味	Na
芳噴噴	VH
芳心	Na
芳料	Na
芳柴	
芳桂	
芳樟	
芳氣	Na
芳水	Na
芳沖沖	VH
芳油	Na
芳滾滾	VH
芳獐	
芳瓜	Na
芳甜	VH
芳粉	Na
芳精	Na
芳臭	Na
芳花	Na
芳苑	Nc
芳茶箍	Na
芳草花	
芳菜	Na
芳貢貢	VH
芳蹤	Na
芳鄰	Na
芳雪文	Na
芳頭	Na
芳香	
芳香味	VH
芳鼠	
芳齡	Na
芹菜	Na
芽	Na
苒	Na;b
苔	b
苔	b
苕苕	VH
苗	b
苗圃	Nc
苗族	Nb
苗栗	Nc
苗栗市	Nc
苗條	VH
苛打	VC
苛水	
苛求	VC
苛責	VC
苛風	Dh
苜蓿	Na
苞	Nb
苞	b
苟意	VH
苟簡	VH
若	Cb
若m7	Db;Cb
若m7是	VG;Cb
若像	VG
若定	Tb
若是	Cb
若有	
若欲	Cb
若欲是	Cb
若準	Cb
若無	Db;Cb
若甲	Cb
苦	VH
苦be7得	VK
苦be7通	VK
苦loh8	Na
苦m7	VK
苦不堪言	VH
苦主	Na
苦倚	
苦刑	Na
苦力	Na
苦力	Na
苦功夫	Na
苦勸	VA;VF;Na;VB;Dh
苦厄	Na
苦命	VH
苦嘆	VE
苦塊塊	
苦境	
苦學	VC
苦尾菜	
苦工	Na
苦役	Na
苦心	Na
苦思	VE
苦悶	VH
苦情	Na
苦惡鳥	
苦惱	VH
苦慼	Na;VH
苦戰	VA
苦戲	Na
苦掩	Na
苦掩掩	
苦揜揜	
苦斂	Na
苦旦	Na
苦旱	Na;VH
苦林盤	
苦果	Na
苦柱	Na
苦柱仔	
苦株	
苦桃	Na
苦棟	
苦楚	Na;VC
苦楝	
苦楝公	
苦楝舅	
苦樂	Na
苦樗	
苦樹	
苦死	
苦毒	VC
苦毛	
苦毛	Na
苦毛	Na
苦氣	VH
苦水	Na
苦海	Na
苦湯	Na
苦無	VK
苦瓜	Na
苦瓜草	
苦瓜面	
苦甘	
苦甘仔	
苦痛	VH
苦痛	VH
苦皮	Na
苦皮樹	
苦窯	
苦竹	
苦笑	VA
苦篤篤	
苦糟仔	
苦練	VC
苦肉計	Na
苦花	
苦茶	Na
苦草	
苦菜	
苦葉葉	VH
苦藍盤	
苦藥	
苦蚵仔	
苦行	A
苦衷	Na
苦讀	
苦買菜	
苦里	Na
苦里	Na
苦雞母	
苦難	VH
苦驚	Db;VK
苦麻	Na
苦齣	Na
苧仔	Na
苧仔布	Na
苧仔索	Na
苧仔絲	Na
苧仔線	Na
苧仔薯	Na
苧仔衫	Na
苯	Na
英	Nc;b
英仔花	
英仔草	
英俊	VH
英傑	Na
英勇	VH
英吋	Nf
英名	Na
英哩	Nf
英國	Nc
英國人	Na
英國花	Na
英姿	Na
英威	VH
英威磅磅	VH
英寸	Nf
英尺	Nf
英年	Na
英才	Na
英文	Na
英明	VH
英格蘭	Nc
英氣	Na
英漢字典	
英烈	VH
英畝	Nf
英美	
英華	Na
英語	Na
英豪	Na
英軍	
英里	Nf
英鎊	Nf
英雄	Na
英靈	Na
英魂	Na
苹仔	Na
苹果梨	
茁嘴齒	
茁泡	VH
茁膿	VH
茁芽	VA;VH
茁蘡	VA
茂	b
茂林	Na
茂盛	VH
范	Nb
茄	Na;b
茄仔色	Na
茄冬樹	
茄朾	Na
茄竹筍	
茄色	Na
茄苳	
茄苳樹	
茄茉菜	
茄荻筍	
茄藤	Na
茄藤樹	Na
茅	Na;b
茅仔	Na
茅仔草	Na
茅根草	Na
茅草	Na
茅草	Na
茅草根	Na
茅菅	Na
茅蘆	
茉草	
茉莉	Na
茜草	
茫	Na;b
茫然	VH
茫罕罕	VH
茫茫	Dd;VH
茫茫	VH
茫霧	Na;VH
茭chi3	
茭白筍	
茯苓	Na
茱萸	Na
茲事體大	VH
茳芏	
茴香	Na
茶	Na
茶siu7	b
茶具	Na
茶具	Na
茶几仔	Na
茶匙hong5	
茶叢	
茶咠	
茶園	Nc
茶垢	
茶壺	Na
茶壺	Na
茶室	Nc
茶尾	
茶尿	
茶店仔	Nc
茶心	Na
茶心粕	b
茶心茶	Na
茶房	Na
茶攤	Na
茶斑蛇	
茶會	Na
茶杯	Na
茶枝	
茶桌	
茶桌仔	Nc;Na
茶桌仔位	
茶棚	
茶業	
茶樹	
茶欉	
茶水	Na
茶油	Na
茶洗	Na
茶滓	
茶瓶	Na
茶甌	Na
茶盅	Na
茶盤	Na
茶箍	Na
茶箍粉	Na
茶米	Na
茶米店	
茶米粕	
茶米罐仔	
茶米茶	Na
茶米草	
茶綠	A
茶罐	Na
茶船	Na
茶色	Na
茶色	Na
茶色目鏡	
茶芛	
茶花	Na
茶葉	Na
茶葉樹	
茶蘭	
茶蟲	
茶行	
茶話會	
茶道	Na
茶配	Na
茶配	Na;VC
茶酒	Na
茶鈷	Na
茶隼	
茶餅	
茶餅會	
茶館	Nc
茶鹽	Na
茶點招待	
茹	Nb
茹	Nb
茹	VH
茹	VH
茹chhiang2-chhiang2	Nb;VH
茹ka3-ka3	VH
茹ka3-ka3	VH
茹ko--ko	Nb
茹ko5	VH
茹so5	VA;VH
茹亂	VH
茹倨	VH
茹冗冗	VH
茹唸	VA
茹氅氅	Na;VH
茹狂狂	VH
茹狂狂	VH
茹絞絞	VH
茹絞絞	VH
茹絮夢	VA;Na
茹茸鬖框	VH
茹頭鬖髻	VH
茹馬馬	VH
茹鬖鬖	VH
茺蔚子	
茼蒿	
茼蒿菜	
荇菜	
草	Na
草	Na;VH
草chu7	
草hu	
草pho7	Na
草that	
草丑仔	Na
草人	Na
草仔	
草仔	
草仔墓	Na
草仔性	Na;VH
草刺	Na
草包仔	Na
草厝	Na
草嘓	
草囷	Na
草地	Nc
草地人	
草地傖	Na
草垺	Na
草埔	Nc;Na
草堆	Na
草塞仔	Na
草子仔	
草寮仔	Na
草屯	Nc
草山	Nc
草擬	VC
草料	Na
草書	Na
草木	Na
草根	Na
草案	Na
草案	Na
草橄仔	
草橄仔	Na
草橄欖	
草氣	
草沖	Na
草海桐	
草猴	Na;VH
草疕	Na
草稿	Na
草稿	Na
草笠	Na
草笠仔	Na
草約	Na
草約	Na
草索	Na
草花	Na
草菅人命	VA
草菇	Na
草菊仔	
草菜	Na
草蓆	Na
草蔬	Na
草蔬	Na
草藥	Na
草蘢	Na
草蘭	
草蛇	
草蜢	Na
草蜢仔腿	
草蜢公	Na
草蝦	Na
草貓	VH
草踏	VC
草金	
草鉼	Na
草錦	
草間	Na
草雞仔	Na
草鞋	Na
草鞋板	Na
草鞋禮	Na
草頭露	
草骨	
草魚	Na
草齴	VH
草龍	Na
荏	VH
荏弱	VH
荏漢	Na
荏腳	Na;VH
荏腳數	Na
荏腳數	Na
荏貨	Na
荏路	VH
荏身命	VH
荏馬	Na
荒	b
荒	b
荒ham3	VH
荒hiN3	VH
荒唐	VH
荒地	
荒地	Na
荒地	Na
荒埔	Nc;Na
荒山	Nc
荒年	Na
荒廢	VH
荒廢	VJ;VH
荒心	VH
荒村	Na
荒蕪	VH
荒譀	VH
荒郊	Nc
荒郊野外	Nc
荒野	Nc
荒頭狗	Na
荔	b
荔枝	Na
荖花	
荖草	
荖葉	
荖藤	
荷仔	
荷包	Na
荷包仔	Na
荷包花	
荷包草	
荷包蟯	
荷樹	
荷爾蒙	Na
荷爾蒙	Na
荷花	Na
荷花	Na
荷葉蓮	
荷蘭	Nc
荷蘭人	Na
荷蘭薯	Na
荷蘭豆	Na
荽	
莊	Nb
莊嚴	VH
莊官	Na
莊腳	Nc
莊腳人	Na
莊頭	
莎雞	Na
莒光日	Nd
莒光號	Na
莓	Na;b
莓仔	Na
莖	Na
莞	b
莢	b
莢	b
莧菜	
莫	Db;Ne
莫卻	Cb
莫大	A
莫怪	Db
莫怪	Db
莫捏	VA;Na;VC
莫斯科	Nc
莫用	Db
莫衷一是	VH
莫說	Cb
莫說講	Cb
莫講	Cb
莫講卻	Cb
莫講是	Cb
莫非	Dc
莽	b
莽夫	Na
莽懂	VH
莽懂漢	Na
莽撞	VH
莿	Na;VC
菁	Na
菁仔	
菁仔	Na
菁仔宅	
