保惜 VJ
保溫罐 Na
保胎 VA
保認 VE
保身符 Na
保領 VC
信憑 Na
信篤篤 VI
信聖 VJ
信號彈 Na
信袋 Na
信錯 VK
信魚 Na
修削 VC
修齊 VR
俺伯 Na
俺公 Na
俺叔 Na
俺姐 Na
俺姑 Na
俺娘 Na
俺媽 Na
俺媽體 VH
俺嬸 Na
俺祖 Na
俺細的 Na
倉碰 VH
倉磅 VH
倌 Na
倒來 VA
倒侵 VJ
倒倒 VB
倒剃 VC
倒削 VC
倒勼 VD
倒反 VA
倒反照 VJ
倒反行 Na
倒問 VE
倒坐罪 VA
倒少年 VH
倒床 VA
倒彈 VB
倒房 VH
倒手 Na
倒拋 VA
倒插筆 VC
倒換 VC
倒揜 VA
倒摳 VC
倒擔 VH
倒攄 VA
倒攄車 VA
倒斡 VA
倒案 VH
倒椅 Na
倒泍風 Na
倒激 VA
倒照 VJ
倒照影 Na
倒照日 Na
倒爿 Nc
倒祖 VA
倒祧 VH
倒笑天 VA
倒翻箍 VC
倒翻頭 VA
倒聲 VH
倒腳 Na
倒袒平 VR
倒袒笑 VA
倒路站 Nc
倒踏蹬 VC
倒踏錢 Na
倒轉來 VA
倒轉去 VR
倒退車 VA
倒運 Na
倒離離 VH
倒青春 VH
倒面 Nc
倒頭唸 VI
倒頭栽 Na
倒頭流 VA
倒頭行 Na
倒頭訕 VC
候下 VC
候價 VH
候等 VK
候脈 VB
候駕 VA
倚並 VC
倚倚 VC
倚偏邊 VH
倚傍 VC
倚勢 Dh
倚岸 VC
倚帶 VJ
倚年 Nd
倚意 VH
倚按 VC
倚晝 Nd
倚暗 Nd
倚樣 P4
倚欲 Ne
倚歸爿 VH
倚海 Nc
倚理 VH
倚街 Dg
倚身 VC
倚近 P1
倚邊 Dg
倚食 VA
借khia7 VC
借toa3 VC
借單 Na
借嘴 VA
借字 Na
借帶 VC
借徛 VC
借歇 VC
借詞 Na
借話 VA
倡頭 VA
倩人 VC
倩工 VF
倩的 VA
倩船 b
倩車 VA
倯teh-teh b
倯氣 VH
值代 Na
值大代 Na
值日官 Na
偃sak VC
偃交仔 VA
偃倒 VR
偃徛 VC
偃耳 Dh
偃耳聽 VC
偃覆 VA
偆 VJ
偆錢 VA
偆額 Na
偆飯 Na
假chang2 Na
假gau5 VA
假khiang3 VA
假tiN3 VF
假tiN3生 Na
假上諓 VA
假佯 VA
假做 VR
假出獄 VB
假分數 Na
假包 Na
假君子 Na
假嘴齒 Na
假夠禮 Na
假大範 VA
假好心 VI
假好額 VA
假影 VA
假戇 VA
假戇槌 VA
假掔乖 VH
假有心 VI
假枝路 Na
假牌個 Na
假物 Na
假痟 VA
假的 VH
假皮 Na
假盡情 VI
假目頭 A
假睏 VA
假破病 VA
假空 VA
假空假榫 VA
假精光 VA
假老大 VH
假聖人 Na
假肢 Na
假腳 Na
假茄苳 Na
假虔 VA
假虔意 Na
假虔笑 VA
假袍 VC
假那 VG
假頭毛 Na
假齒 Na
假 VA
偉績 Na
偌 Ne
偌久 Dd
偌仔 Df
偌仔呢 Df
偌儕 Ne
偌呢 Df
偌怎樣 Dj
偌懸 b
偌濟 Ne
偌爾 Df
偌爾仔 Df
偌重 b
偎揳 VH
偏人 Db
偏僻話 Na
偏僻路 Na
偏名 Na
偏強 VH
偏竅 VH
偏號 Na
偏視 VA
偏護 VJ
偏路 Na
偏途 Na
偏邊 Nc
偏重ti7 VJ
偏頭 Db
偏頭風 Na
偓促 VH
偓促火 Na
偓促熱 Na
做kiuN7 VA
做一 Dh
做一下 Na
做一時 Dd
做一氣 VA
做一睏 VA
做三牲 VA
做中人 VC
做主人 VA
做了 VR
做交替 Na
做人客 VA
做仙 VH
做代 VH
做件 VA
做件個 VA
做伊 Dh
做伊走 VA
做便 A
做便的 Na
做保家 VB
做傢夥 VH
做價 VA
做公親 VC
做兵 VA
做功 Na
做功德 VA
做勻 VC
做唯是 VH
做善事 VA
做囝仔戲 Na
做土的 Na
做堆 VA
做堆徛 VA
做夥 VA
做大水 Na
做套 Na
做好事 VA
做婊 VA
做媒人 VB
做孔 VA
做家 VH
做家伙 VH
做對頭 VB
做尾牙 VA
做局 VA
做工藝 VA
做忌 Na
做息 Na
做情 VB
做意致 VH
做慶成 Na
做戲仔 Na
做手 VA
做散氣 VA
做替 VC
做會 VA
做會來 Df
做月內 VA
做木個 Na
做水災 VH
做涌 VA
做物 Na
做王 VA
做生日 VB
做生理 VA
做田 VA
做田囝 Na
做痢 Na
做瘦氣 VB
做硌硞 VH
做神 VH
做科 VA
做穡 VA
做穡人 Na
做空做榫 VH
做竅害人 b
做節 VA
做聖人 VH
做聲 VA
做腳手 VA
做膽 VB
做色 VB
做著 VR
做藝 VC
做藝量 VC
做親情 VA
做誆 b
做證據 VI
做譴爽 b
做貴 VA
做醮 VA
做陣 VB
做陣痛 VA
做陣行 Na
做陪客 VA
做靠山 VB
做頭家 VA
做風做湧 VA
做體統 VA
做鬼 VH
做鬼做祟 VH
停leh VR
停ti7 VJ
停tiau5 VR
停喘 VA
停氣 VA
停盤 Na
停睏 VA
停起來 VA
停靈 VH
健丟 VH
健乖 VH
偷bih VA
偷chhoa7尿 VA
偷khioh VC
偷khng3 VC
偷theh8 Na
偷伏 VA
偷偷仔 Dh
偷含 VA
偷咬雞 VH
偷報 VC
偷拈 VA
偷挩 Na
偷捻手 VE
偷提 VA
偷撥工 VH
偷歡喜 VH
偷生的 Na
偷瞇 VC
偷瞻 VC
偷走兵 Na
偷走厝 VA
偷走學 VA
偷走書 VA
偷走稅 VA
偷走課 VA
偷領 VC
偷食步 VH
傍官靠勢 VH
傍瘍 VH
傍福氣 Nb
傍蔭 VH
傍衰 VC
傖 b
傖傖 VH
傖壁壁 VH
傖筒 VH
傖筒氣 VH
傢伙頭 Na
傢司 Na
催千 Dd
催油 VB
催陣 VA
傳hou7 VR
傳囝孫 VA
傳後嗣 VA
傳熱 VH
傳種 VD
傳落去 VR
傳香火 VA
傳香煙 VA
債務人 Na
傷che7 Ne
傷嘴 Na
傷寢 b
傷少 Da
傷慢 VH
傷慢矣 Na
傷懸 VH
傷早 Dd
傷暑 VH
傷本 VH
傷本錢 VH
傷產 VH
傷症 Na
傷短 VH
傷礙 VC
傷細 VH
傷過 Df
傷過頭 VH
傷酒 VH
傷重病 Na
傾空 VH
傾銷稅 Na
僉舉 VF
僎 VF
僎便 VF
僎辦 VF
像一位 Dh
像一路 Dg
像勻 VI
像年 Nd
像心 VH
像時 Dd
像款 VH
像歲 Nd
像氣路 VA
像班 VI
像社里 VI
像腹 Na
像行 Na
像輩 VI
像途 Na
像鄉里 VI
僑務委員會 Nc
僑團 Na
僥 VA
僥倖死 VH
僥倖錢 Na
僥反 VA
僥心 VH
僥疑 Na
僥背 VJ
僥蟶 VH
僥負 VJ
僬 VH
僬勻 VH
僬著 VH
僭分 VC
僭功 VB
僭權 VA
僭煞 VA
僭開 VA
僭隊 VA
價數 Na
價聲 Na
價腳 Na
僻症 Na
僻角 VH
僻話 Na
儉入去 VR
儉嘴 VH
儉斂 VH
儉水 VA
儉相 VA
儉錢 VA
儌仙 Na
儌伴 Na
儌徒 Na
儌數 Na
儌本 Na
儌東 Na
儌棍 Na
儌注 Na
儌腳 Na
儌豬 Na
儌間 Nc
儑 VH
儑人 Na
儑想 VA
儑面 VH
儒艮 Na
優惠待遇 Na
優易 VH
優曇花 Na
儲蓄銀行 Nc
儸 b
儼硬 VH
允人 VE
允穡 VF
允穡頭 VA
允親 VA
允頓 VA
允頭路 VA
兄哥 Na
兄嫂人 Na
兄弟仔 Na
兄弟仔群 Na
充官 VB
充落公 VB
充落官 VB
兇死 VH
兇狂 VH
兇身 Na
先交定 VC
先呼 b
先明品 VA
先生禮 Na
先託頭 VE
光iaN7 VH
光khut8-khut8 VH
光全 VH
光批 Na
光棍槌 Na
光湛湛 VH
光溝 Na
光炎 VH
光炎炎 VH
光焰焰 VH
光焱焱 VH
光熠熠 VH
光爁爁 Na
光生 VH
光眼 VH
光碼 Na
光膏 VH
光膏膏 VH
光艷 VH
光起來 VR
光通 VH
克根 VA
克苦 VK
克虧 VC
兌平 VH
兌毛 VA
兌錢 VC
兌齊 VH
免偌久 Nd
免想 VK
免數想 VK
免用 Db
免用到 VR
免禮 VH
免講 VA
兔仔 Na
兔仔尾 Na
兜tiau5 VC
兜捎 VH
兜梢 VC
兜留 VC
兜私 VH
兜羹 Na
兜蟲 Na
兜顧客 VC
兢心 Na
入厝 VC
入去 VA
入呈 VB
入嘴 Nc
入夏 Nd
入意 VI
入批 VC
入數 VA
入木 VA
入札 VA
入柴 VB
入棺 VC
入水 VB
入滾水 VC
入狀 VB
入被 VC
入運 Nd
入霧 VH
入題 VH
內中 Nc
內債 Na
內公 Na
內叛 VA
內口 Na
內埕 Nc
內外攻 VA
內奸 Na
內媽 Na
內山人 Na
內山傖 Na
內山客 Na
內山猴 Na
內底衫 Na
內房 Nc
內才 Na
內港 Nc
內症 Na
內科醫生 Na
內籬仔 Nc
內腎 Na
內腹 Nc
內行個 Na
內衫 Na
內裌仔 Na
內裙 Na
內親 Na
內身 Nc
內面間 Nc
內領衫 Na
內頭 Nc
全long2 Da
全備 VH
全副 A
全心神 Dh
全成板 Na
全無膽懾 VH
全然無仝 VH
全癒 VH
全蝕 VH
全責 Na
全身軀 Nc
全軍 Na
兩交含 VH
兩個手 Na
兩倍 Na
兩光 VH
兩心願 VH
兩想 Na
兩撇鬚 Na
兩方 Nh
兩爿 Nc
兩腳騎 Na
兩賞 Na
兩重親 VH
兩鋪路 VC
兩頭含 VH
八仙屏 Na
八卦路 VH
八字命 Na
八字帖 Na
八字步 Na
八字鬚 Na
八寶樹 Na
八寶糜 Na
八寶衫 Na
八戒 Na
八月節 Nd
八比 Na
八比仔 Na
八角香 Na
公佈欄 Na
公價 Na
公冢 Nc
公塚 Nc
公婆龕 Na
公媽龕 Na
公子爺 Na
公子爺舍 Na
公家用 A
公族 Na
公案桌 Na
公母套 Na
公玳 b
公示 VE
公花 Na
公道人 Na
公道伯 Na
公金 Na
公銀 Na
公題 VC
公黃 Na
六賊 Na
共一樣 Da
共勻 VI
共同市場 Nb
共姓仔 Na
共字勻 VI
共心 Na
共款 A
共沿 VI
共班 Na
共症頭 VH
共祖先 Na
共祧 Na
共總 Da
共聲嗽 VA
共輩 VI
共途 VI
共面 VH
兵仔寮 Nc
兵仔舍 Nc
兵腳仔 Na
兵衫 Na
其內 Nc
其外 Nc
典獄官 Na
兼勢 Dd
兼塊做 VA
兼祧 VJ
冇 VH
冇手 VH
冇數 Na
冇柴 Na
冇粟 Na
冇話 Na
冇談 VA
冇頭仔 Na
冉 Nb
冉腳冉手 Dh
冊包 Na
冊名 Na
冊囊 Na
冊底 Na
冊店 Nc
冊庫 Nc
冊房 Nc
冊揹仔 Na
冊架 Na
冊橐仔 Na
冊櫥 Na
冊疊仔 Na
冊皮 Na
冊簽 Na
冊蟲 Na
冊龜仔 Na
再出世 VH
再講 Dk
再起 VH
冒告 VC
冒捏 VA
冒暑 VH
冒證 Na
冕旒 Na
冗 b
冗m5絆? VJ
冗一氣 b
冗冗 VH
冗剩 VH
冗早 Dd
冗氣 VH
冗盛 Na
冗空 VH
冗限 VJ
冗霍霍 VJ
冗鬆 VC
冢仔地 Nc
冢仔埔 Nc
冢仔山 Nc
冤仇人 Na
冤家主 Na
冤家人 Na
冤家量債 VA
冤禍 Na
冤讎 Na
冤讎人 Na
冬尾 Nd
冬尾天 Nd
冬節 Nd
冬粉 Na
冬蟲 Na
冬防 A
冬頭 Nd
冰仔水 Na
冰枝 Na
冰櫥 Na
冰角 Na
