序號	詞語	等別	級別	情境	書面字頻(每百萬字)	口語字頻(每百萬字)	簡編本系統號	參考注音	參考漢語拼音
4150	情節	進階	第5級	4.休閒、娛樂	57	7	[['情節', ['25762']]]	ㄑㄧㄥˊ ㄐㄧㄝˊ	qíng jié
4151	清潔	進階	第5級	2.日常起居	14	39	[['清潔', ['25615']]]	ㄑㄧㄥ ㄐㄧㄝˊ	qīng jié
4152	清潔工	進階	第5級	3.職業	2	1	[]	ㄑㄧㄥ ㄐㄧㄝˊ ㄍㄨㄥ	qīng jié gōng
4153	情景	進階	第5級	16.情緒、態度	25	4	[['情景', ['25763']]]	ㄑㄧㄥˊ ㄐㄧㄥˇ	qíng jǐng
4154	晴朗	進階	第5級	5.交通、旅遊	7	6	[['晴朗', ['25796']]]	ㄑㄧㄥˊ ㄌㄤˇ	qíng lǎng
4155	清理	進階	第5級	2.日常起居	17	27	[['清理', ['25603']]]	ㄑㄧㄥ ㄌㄧˇ	qīng lǐ
4156	清涼	進階	第5級	5.交通、旅遊	6	7	[['清涼', ['25608']]]	ㄑㄧㄥ ㄌㄧㄤˊ	qīng liáng
4157	情侶	進階	第5級	6.社交、人際	7	2	[['情侶', ['25755']]]	ㄑㄧㄥˊ ㄌㄩˇ	qíng lǚ
4158	請求	進階	第5級	核心詞	45	9	[['請求', ['25816']]]	ㄑㄧㄥˇ ㄑㄧㄡˊ	qǐng qiú
4159	情人	進階	第5級	6.社交、人際	24	3	[['情人', ['25777']]]	ㄑㄧㄥˊ ㄖㄣˊ	qíng rén
4160	輕聲	進階	第5級	核心詞	23	4	[['輕聲', ['25703']]]	ㄑㄧㄥ ㄕㄥ	qīng shēng
4161	情勢	進階	第5級	核心詞	26	27	[['情勢', ['25774']]]	ㄑㄧㄥˊ ㄕˋ	qíng shì
4162	青蛙	進階	第5級	13.自然環境	24	31	[['青蛙', ['25582']]]	ㄑㄧㄥ ㄨㄚ	qīng wā
4163	輕微	進階	第5級	7.身體、醫療	19	12	[['輕微', ['25717']]]	ㄑㄧㄥ ㄨㄟˊ	qīng wéi
4164	清洗	進階	第5級	核心詞	12	25	[['清洗', ['25625']]]	ㄑㄧㄥ ㄒㄧˇ	qīng xǐ
4165	清醒	進階	第5級	2.日常起居	39	5	[['清醒', ['25632']]]	ㄑㄧㄥ ㄒㄧㄥˇ	qīng xǐng
4166	情緒	進階	第5級	16.情緒、態度	307	94	[['情緒', ['25769']]]	ㄑㄧㄥˊ ㄒㄩˋ	qíng xù
4167	求婚	進階	第5級	6.社交、人際	10	2	[['求婚', ['24991']]]	ㄑㄧㄡˊ ㄏㄨㄣ	qiú hūn
4168	球迷	進階	第5級	4.休閒、娛樂	8	1	[['球迷', ['25026']]]	ㄑㄧㄡˊ ㄇㄧˊ	qiú mí
4169	球鞋	進階	第5級	9.購物、商店	3	4	[['球鞋', ['25033']]]	ㄑㄧㄡˊ ㄒㄧㄝˊ	qiú xié
4170	求學	進階	第5級	8.教育、學習	11	18	[['求學', ['25003']]]	ㄑㄧㄡˊ ㄒㄩㄝˊ	qiú xué
4171	娶	進階	第5級	1.個人資料	42	20	[['娶', ['25947']]]	ㄑㄩˇ	qǔ
4172	曲1	進階	第5級	核心詞	21	10	[['曲', ['25839', '25916']]]	ㄑㄩˇ	qǔ
4173	區別	進階	第5級	核心詞	20	4	[['區別', ['25872']]]	ㄑㄩ ㄅㄧㄝˊ	qū bié
4174	取代	進階	第5級	核心詞	51	49	[['取代', ['25927']]]	ㄑㄩˇ ㄉㄞˋ	qǔ dài
4175	取得	進階	第5級	核心詞	91	58	[['取得', ['25926']]]	ㄑㄩˇ ㄉㄜˊ	qǔ dé
4176	區分	進階	第5級	核心詞	18	6	[['區分', ['25873']]]	ㄑㄩ ㄈㄣ	qū fēn
4177	去世	進階	第5級	1.個人資料	42	9	[['去世', ['25962']]]	ㄑㄩˋ ㄕˋ	qù shì
4178	取消	進階	第5級	3.職業	21	20	[['取消', ['25935']]]	ㄑㄩˇ ㄒㄧㄠ	qǔ xiāo
4179	曲子	進階	第5級	4.休閒、娛樂	15	5	[['曲子', ['25922']]]	ㄑㄩˇ ˙ㄗ	qǔ zi
4180	拳	進階	第5級	核心詞	22	3	[['拳', ['26091']]]	ㄑㄩㄢˊ	quán
4181	圈1	進階	第5級	核心詞	51	56	[['圈', ['24238', '26024']]]	ㄑㄩㄢ	quān
4182	勸告	進階	第5級	16.情緒、態度	7	2	[['勸告', ['26142']]]	ㄑㄩㄢˋ ㄍㄠˋ	quàn gào
4183	權力	進階	第5級	14.社會	105	23	[['權力', ['26113']]]	ㄑㄩㄢˊ ㄌㄧˋ	quán lì
4184	全面	進階	第5級	核心詞	33	27	[['全面', ['26036']]]	ㄑㄩㄢˊ ㄇㄧㄢˋ	quán miàn
4185	全然	進階	第5級	核心詞	29	9	[]	ㄑㄩㄢˊ ㄖㄢˊ	quán rán
4186	權勢	進階	第5級	14.社會	22	1	[['權勢', ['26120']]]	ㄑㄩㄢˊ ㄕˋ	quán shì
4187	全體	進階	第5級	核心詞	25	11	[['全體', ['26042']]]	ㄑㄩㄢˊ ㄊㄧˇ	quán tǐ
4188	拳頭	進階	第5級	7.身體、醫療	14	7	[['拳頭', ['26093']]]	ㄑㄩㄢˊ ˙ㄊㄡ	quán tou
4189	全職	進階	第5級	3.職業	6	6	[]	ㄑㄩㄢˊ ㄓˊ	quán zhí
4190	確保	進階	第5級	12.安全	30	28	[['確保', ['26009']]]	ㄑㄩㄝˋ ㄅㄠˇ	què bǎo
4191	缺乏	進階	第5級	核心詞	117	59	[['缺乏', ['25975']]]	ㄑㄩㄝ ㄈㄚˊ	quē fá
4192	確立	進階	第5級	8.教育、學習	18	2	[['確立', ['26011']]]	ㄑㄩㄝˋ ㄌㄧˋ	què lì
